sentence,label,pred_label,confidence,prob_negative,prob_neutral,prob_positive
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",1,1,0.9981659,0.00091194763,0.9981659,0.00092222635
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",2,2,0.99813443,0.0010058448,0.00085973565,0.99813443
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",2,2,0.99814665,0.00078473217,0.0010686559,0.99814665
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,2,2,0.99815506,0.00078235654,0.001062536,0.99815506
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",2,2,0.99818283,0.0007812946,0.0010358222,0.99818283
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",2,2,0.99824584,0.00086809736,0.00088606274,0.99824584
"Clothing retail chain Sepp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",2,2,0.99822384,0.0008882921,0.00088782376,0.99822384
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",2,2,0.99818367,0.0010170802,0.0007991834,0.99818367
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",2,2,0.99822766,0.00093963154,0.0008327735,0.99822766
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",2,2,0.9846304,0.014709861,0.00065968005,0.9846304
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",2,2,0.99809617,0.00075783674,0.0011460544,0.99809617
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",2,2,0.9982388,0.0009811181,0.0007800845,0.9982388
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",2,2,0.9981864,0.0008350318,0.0009784937,0.9981864
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),2,2,0.9982167,0.0008190924,0.0009641616,0.9982167
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",2,2,0.9977157,0.0006449171,0.0016393437,0.9977157
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,2,2,0.99816114,0.00075848255,0.0010804253,0.99816114
